"id","name","rating","price","original_price","discount","features"
10,"Reliance 81.01 cm (32 inch) HD Ready LED Smart Android TV with Android 12, 24 W Dolby Audio, Frameless...","3.8","₹10,199","₹21,490","52%","Operating System: AndroidHD Ready 1366X768 PixelsLaunch Year: 20231 Year Comprehensive Warranty"
11,"XElectron 80 cm (32 inch) HD Ready 3D LED TV 2023 Edition","4.2","₹7,499","₹17,999","58%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year warranty from the date of purchase. For more help & support call us at: 8527312304 or mail us at: customercare@xelectron.com"
12,"REDMI 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV 2023 Edition with Dolby Audio & DTS: Virtual X","4.2","₹11,490","₹24,999","54%","Operating System: FireTv OS 7HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty"
13,"Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision | HDR...","4.3","₹37,999","₹54,999","30%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
14,"LG UQ7550 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","4.4","₹31,990","₹47,990","33%","Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
15,"Mi A Series 80 cm (32 inch) HD Ready LED Smart Google TV 2024 Edition","4.3","₹12,999","₹24,999","48%","Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Warranty on Product and 1 Year Additional Warranty on Panel"
16,"Dyanora 60 cm (24 inch) HD Ready LED Smart Linux based TV with Noise Reduction, Powerful Audio Box Spe...","4","₹6,999","₹12,499","44%","Operating System: Linux basedHD Ready 1366 x 768 PixelsLaunch Year: 2022NA"
17,"Dyanora Sigma 80 cm (32 Inch) HD Ready LED Smart Linux TV with 30 Watt Box Speakers & Bezel-Less Desig...","4","₹8,999","₹18,499","51%","Operating System: LinuxHD Ready 1366 x 768 PixelsLaunch Year: 2022NA"
18,"MOTOROLA EnvisionX 140 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers","4.3","₹32,999","₹56,790","41%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty"
19,"iFFALCON by TCL U62 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","4.2","₹37,999","₹1,20,990","68%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Warranty"
20,"Dyanora 80 cm (32 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","4.1","₹7,999","₹15,999","50%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 2021NA"
21,"Dyanora Sigma 60 cm (24 inch) HD Ready LED Smart Linux TV with 20 Watt Box Speakers","4","₹6,999","₹12,499","44%","Operating System: LinuxHD Ready 1366 x 768 PixelsLaunch Year: 2023NA"
22,"LG UQ7550 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","4.4","₹44,990","₹71,990","37%","Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
23,"Acer Advanced I Series 102 cm (40 inch) Full HD LED Smart Google TV 2023 Edition with 1.5GB RAM, 16GB ...","4.3","₹16,999","₹29,999","43%","Operating System: Google TVFull HD 1080 x 1920 PixelsLaunch Year: 20231 Year Comprehensive Warranty from the Date of Purchase"
24,"REDMI 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV 2024 Edition with Dolby Audio & DTS: Virtual X","4.2","₹11,999","₹24,999","52%","Operating System: FireTv OS 7HD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
25,"Mi X Pro 125 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision IQ | HDR...","4.3","₹41,999","₹59,999","30%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
26,"SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV 2023 Edition","4.4","₹24,499","₹37,900","35%","Operating System: TizenFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
27,"Mi A series 80 cm (32 inch) HD Ready LED Smart Google TV 2023 Edition with HD |Dolby Audio | DTS:HD | ...","4.3","₹11,999","₹24,999","52%","Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
28,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV 2023 Edition with a5 AI Processor Gen5, Refresh Rate: 6...","4.3","₹15,490","₹19,990","22%","Operating System: WebOSHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
29,"SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design","4.4","₹13,490","₹18,900","28%","Operating System: TizenHD Ready 1366 x 768 PixelsLaunch Year: 20221 Year Comprehensive Warranty on Product and 1 Year Additional on Panel"
30,"Dyanora 60 cm (24 Inch) HD Ready LED TV","4.1","₹5,999","₹10,999","45%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Manufacturer Warranty from the Date of Purchase"
31,"XElectron 60 cm (24 inch) HD Ready LED TV 2023 Edition","4.2","₹5,999","₹13,999","57%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year warranty from the date of purchase. For more help & support call us at: 8527312304 or mail us at: customercare@xelectron.com"
32,"Mi A series 108 cm (43 inch) Full HD LED Smart Google TV 2023 Edition with FHD | Dolby Audio | DTS : H...","4.2","₹22,999","₹35,999","36%","Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
33,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV","4.3","₹13,990","₹24,990","44%","Operating System: WebOSHD Ready 1366 x 768 PixelsLaunch Year: 20201 Year Product Warranty Applicable"
34,"Reliance 81.01 cm (32 inch) HD Ready LED Smart Android TV with Android 12, 24 W Dolby Audio, Frameless...","3.8","₹10,199","₹21,490","52%","Operating System: AndroidHD Ready 1366X768 PixelsLaunch Year: 20231 Year Comprehensive Warranty"
35,"XElectron 80 cm (32 inch) HD Ready 3D LED TV 2023 Edition","4.2","₹7,499","₹17,999","58%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year warranty from the date of purchase. For more help & support call us at: 8527312304 or mail us at: customercare@xelectron.com"
36,"REDMI 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV 2023 Edition with Dolby Audio & DTS: Virtual X","4.2","₹11,490","₹24,999","54%","Operating System: FireTv OS 7HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty"
37,"Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision | HDR...","4.3","₹37,999","₹54,999","30%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
38,"LG UQ7550 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","4.4","₹31,990","₹47,990","33%","Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
39,"Mi A Series 80 cm (32 inch) HD Ready LED Smart Google TV 2024 Edition","4.3","₹12,999","₹24,999","48%","Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Warranty on Product and 1 Year Additional Warranty on Panel"
40,"Dyanora 60 cm (24 inch) HD Ready LED Smart Linux based TV with Noise Reduction, Powerful Audio Box Spe...","4","₹6,999","₹12,499","44%","Operating System: Linux basedHD Ready 1366 x 768 PixelsLaunch Year: 2022NA"
41,"Dyanora Sigma 80 cm (32 Inch) HD Ready LED Smart Linux TV with 30 Watt Box Speakers & Bezel-Less Desig...","4","₹8,999","₹18,499","51%","Operating System: LinuxHD Ready 1366 x 768 PixelsLaunch Year: 2022NA"
42,"MOTOROLA EnvisionX 140 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers","4.3","₹32,999","₹56,790","41%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty"
43,"iFFALCON by TCL U62 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","4.2","₹37,999","₹1,20,990","68%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Warranty"
44,"Dyanora 80 cm (32 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","4.1","₹7,999","₹15,999","50%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 2021NA"
45,"Dyanora Sigma 60 cm (24 inch) HD Ready LED Smart Linux TV with 20 Watt Box Speakers","4","₹6,999","₹12,499","44%","Operating System: LinuxHD Ready 1366 x 768 PixelsLaunch Year: 2023NA"
46,"LG UQ7550 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","4.4","₹44,990","₹71,990","37%","Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
47,"Acer Advanced I Series 102 cm (40 inch) Full HD LED Smart Google TV 2023 Edition with 1.5GB RAM, 16GB ...","4.3","₹16,999","₹29,999","43%","Operating System: Google TVFull HD 1080 x 1920 PixelsLaunch Year: 20231 Year Comprehensive Warranty from the Date of Purchase"
48,"REDMI 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV 2024 Edition with Dolby Audio & DTS: Virtual X","4.2","₹11,999","₹24,999","52%","Operating System: FireTv OS 7HD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
49,"Mi X Pro 125 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision IQ | HDR...","4.3","₹41,999","₹59,999","30%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
50,"SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV 2023 Edition","4.4","₹24,499","₹37,900","35%","Operating System: TizenFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
51,"Mi A series 80 cm (32 inch) HD Ready LED Smart Google TV 2023 Edition with HD |Dolby Audio | DTS:HD | ...","4.3","₹11,999","₹24,999","52%","Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
52,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV 2023 Edition with a5 AI Processor Gen5, Refresh Rate: 6...","4.3","₹15,490","₹19,990","22%","Operating System: WebOSHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
53,"SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design","4.4","₹13,490","₹18,900","28%","Operating System: TizenHD Ready 1366 x 768 PixelsLaunch Year: 20221 Year Comprehensive Warranty on Product and 1 Year Additional on Panel"
54,"Dyanora 60 cm (24 Inch) HD Ready LED TV","4.1","₹5,999","₹10,999","45%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Manufacturer Warranty from the Date of Purchase"
55,"XElectron 60 cm (24 inch) HD Ready LED TV 2023 Edition","4.2","₹5,999","₹13,999","57%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year warranty from the date of purchase. For more help & support call us at: 8527312304 or mail us at: customercare@xelectron.com"
56,"Mi A series 108 cm (43 inch) Full HD LED Smart Google TV 2023 Edition with FHD | Dolby Audio | DTS : H...","4.2","₹22,999","₹35,999","36%","Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
57,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV","4.3","₹13,990","₹24,990","44%","Operating System: WebOSHD Ready 1366 x 768 PixelsLaunch Year: 20201 Year Product Warranty Applicable"
58,"Reliance 81.01 cm (32 inch) HD Ready LED Smart Android TV with Android 12, 24 W Dolby Audio, Frameless...","3.8","₹10,199","₹21,490","52%","Operating System: AndroidHD Ready 1366X768 PixelsLaunch Year: 20231 Year Comprehensive Warranty"
59,"XElectron 80 cm (32 inch) HD Ready 3D LED TV 2023 Edition","4.2","₹7,499","₹17,999","58%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year warranty from the date of purchase. For more help & support call us at: 8527312304 or mail us at: customercare@xelectron.com"
60,"REDMI 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV 2023 Edition with Dolby Audio & DTS: Virtual X","4.2","₹11,490","₹24,999","54%","Operating System: FireTv OS 7HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty"
61,"Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision | HDR...","4.3","₹37,999","₹54,999","30%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
62,"LG UQ7550 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","4.4","₹31,990","₹47,990","33%","Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
63,"Mi A Series 80 cm (32 inch) HD Ready LED Smart Google TV 2024 Edition","4.3","₹12,999","₹24,999","48%","Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Warranty on Product and 1 Year Additional Warranty on Panel"
64,"Dyanora 60 cm (24 inch) HD Ready LED Smart Linux based TV with Noise Reduction, Powerful Audio Box Spe...","4","₹6,999","₹12,499","44%","Operating System: Linux basedHD Ready 1366 x 768 PixelsLaunch Year: 2022NA"
65,"Dyanora Sigma 80 cm (32 Inch) HD Ready LED Smart Linux TV with 30 Watt Box Speakers & Bezel-Less Desig...","4","₹8,999","₹18,499","51%","Operating System: LinuxHD Ready 1366 x 768 PixelsLaunch Year: 2022NA"
66,"MOTOROLA EnvisionX 140 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers","4.3","₹32,999","₹56,790","41%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty"
67,"iFFALCON by TCL U62 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","4.2","₹37,999","₹1,20,990","68%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Warranty"
68,"Dyanora 80 cm (32 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","4.1","₹7,999","₹15,999","50%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 2021NA"
69,"Dyanora Sigma 60 cm (24 inch) HD Ready LED Smart Linux TV with 20 Watt Box Speakers","4","₹6,999","₹12,499","44%","Operating System: LinuxHD Ready 1366 x 768 PixelsLaunch Year: 2023NA"
70,"LG UQ7550 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","4.4","₹44,990","₹71,990","37%","Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
71,"Acer Advanced I Series 102 cm (40 inch) Full HD LED Smart Google TV 2023 Edition with 1.5GB RAM, 16GB ...","4.3","₹16,999","₹29,999","43%","Operating System: Google TVFull HD 1080 x 1920 PixelsLaunch Year: 20231 Year Comprehensive Warranty from the Date of Purchase"
72,"REDMI 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV 2024 Edition with Dolby Audio & DTS: Virtual X","4.2","₹11,999","₹24,999","52%","Operating System: FireTv OS 7HD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
73,"Mi X Pro 125 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision IQ | HDR...","4.3","₹41,999","₹59,999","30%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
74,"SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV 2023 Edition","4.4","₹24,499","₹37,900","35%","Operating System: TizenFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
75,"Mi A series 80 cm (32 inch) HD Ready LED Smart Google TV 2023 Edition with HD |Dolby Audio | DTS:HD | ...","4.3","₹11,999","₹24,999","52%","Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
76,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV 2023 Edition with a5 AI Processor Gen5, Refresh Rate: 6...","4.3","₹15,490","₹19,990","22%","Operating System: WebOSHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
77,"SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design","4.4","₹13,490","₹18,900","28%","Operating System: TizenHD Ready 1366 x 768 PixelsLaunch Year: 20221 Year Comprehensive Warranty on Product and 1 Year Additional on Panel"
78,"Dyanora 60 cm (24 Inch) HD Ready LED TV","4.1","₹5,999","₹10,999","45%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Manufacturer Warranty from the Date of Purchase"
79,"XElectron 60 cm (24 inch) HD Ready LED TV 2023 Edition","4.2","₹5,999","₹13,999","57%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year warranty from the date of purchase. For more help & support call us at: 8527312304 or mail us at: customercare@xelectron.com"
80,"Mi A series 108 cm (43 inch) Full HD LED Smart Google TV 2023 Edition with FHD | Dolby Audio | DTS : H...","4.2","₹22,999","₹35,999","36%","Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
81,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV","4.3","₹13,990","₹24,990","44%","Operating System: WebOSHD Ready 1366 x 768 PixelsLaunch Year: 20201 Year Product Warranty Applicable"
82,"Reliance 81.01 cm (32 inch) HD Ready LED Smart Android TV with Android 12, 24 W Dolby Audio, Frameless...","3.8","₹10,199","₹21,490","52%","Operating System: AndroidHD Ready 1366X768 PixelsLaunch Year: 20231 Year Comprehensive Warranty"
83,"XElectron 80 cm (32 inch) HD Ready 3D LED TV 2023 Edition","4.2","₹7,499","₹17,999","58%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year warranty from the date of purchase. For more help & support call us at: 8527312304 or mail us at: customercare@xelectron.com"
84,"REDMI 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV 2023 Edition with Dolby Audio & DTS: Virtual X","4.2","₹11,490","₹24,999","54%","Operating System: FireTv OS 7HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty"
85,"Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision | HDR...","4.3","₹37,999","₹54,999","30%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
86,"LG UQ7550 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","4.4","₹31,990","₹47,990","33%","Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
87,"Mi A Series 80 cm (32 inch) HD Ready LED Smart Google TV 2024 Edition","4.3","₹12,999","₹24,999","48%","Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Warranty on Product and 1 Year Additional Warranty on Panel"
597,"Dyanora Sigma 60 cm (24 inch) HD Ready LED Smart Linux TV with 20 Watt Box Speakers","4","₹6,999","₹12,499","44%","Operating System: LinuxHD Ready 1366 x 768 PixelsLaunch Year: 2023NA"
88,"Dyanora 60 cm (24 inch) HD Ready LED Smart Linux based TV with Noise Reduction, Powerful Audio Box Spe...","4","₹6,999","₹12,499","44%","Operating System: Linux basedHD Ready 1366 x 768 PixelsLaunch Year: 2022NA"
89,"Dyanora Sigma 80 cm (32 Inch) HD Ready LED Smart Linux TV with 30 Watt Box Speakers & Bezel-Less Desig...","4","₹8,999","₹18,499","51%","Operating System: LinuxHD Ready 1366 x 768 PixelsLaunch Year: 2022NA"
90,"MOTOROLA EnvisionX 140 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers","4.3","₹32,999","₹56,790","41%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty"
91,"iFFALCON by TCL U62 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","4.2","₹37,999","₹1,20,990","68%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Warranty"
92,"Dyanora 80 cm (32 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","4.1","₹7,999","₹15,999","50%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 2021NA"
93,"Dyanora Sigma 60 cm (24 inch) HD Ready LED Smart Linux TV with 20 Watt Box Speakers","4","₹6,999","₹12,499","44%","Operating System: LinuxHD Ready 1366 x 768 PixelsLaunch Year: 2023NA"
94,"LG UQ7550 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","4.4","₹44,990","₹71,990","37%","Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
95,"Acer Advanced I Series 102 cm (40 inch) Full HD LED Smart Google TV 2023 Edition with 1.5GB RAM, 16GB ...","4.3","₹16,999","₹29,999","43%","Operating System: Google TVFull HD 1080 x 1920 PixelsLaunch Year: 20231 Year Comprehensive Warranty from the Date of Purchase"
96,"REDMI 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV 2024 Edition with Dolby Audio & DTS: Virtual X","4.2","₹11,999","₹24,999","52%","Operating System: FireTv OS 7HD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
97,"Mi X Pro 125 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision IQ | HDR...","4.3","₹41,999","₹59,999","30%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
98,"SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV 2023 Edition","4.4","₹24,499","₹37,900","35%","Operating System: TizenFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
99,"Mi A series 80 cm (32 inch) HD Ready LED Smart Google TV 2023 Edition with HD |Dolby Audio | DTS:HD | ...","4.3","₹11,999","₹24,999","52%","Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
100,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV 2023 Edition with a5 AI Processor Gen5, Refresh Rate: 6...","4.3","₹15,490","₹19,990","22%","Operating System: WebOSHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
101,"SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design","4.4","₹13,490","₹18,900","28%","Operating System: TizenHD Ready 1366 x 768 PixelsLaunch Year: 20221 Year Comprehensive Warranty on Product and 1 Year Additional on Panel"
102,"Dyanora 60 cm (24 Inch) HD Ready LED TV","4.1","₹5,999","₹10,999","45%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Manufacturer Warranty from the Date of Purchase"
103,"XElectron 60 cm (24 inch) HD Ready LED TV 2023 Edition","4.2","₹5,999","₹13,999","57%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year warranty from the date of purchase. For more help & support call us at: 8527312304 or mail us at: customercare@xelectron.com"
